#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E408
#Date Time: 2017-10-14 10:35:46.065
#Trigger:Source: Channel 2Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: -6.5 V
#Channel 2: Range: 200 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.018903333333333334,1.5408138281273076,-0.68567080158663396
-0.018898333333333333,1.5809568450681795,-0.68600582469849924
-0.018893333333333331,1.6210998620090489,-0.68600582469849936
-0.018888333333333333,1.6575935137734445,-0.68634084781036397
-0.018883333333333332,1.6867884351849742,-0.68734591714595827
-0.018878333333333334,1.7086846262436213,-0.687680940257823
-0.018873333333333332,1.726931452125827,-0.6886860095934173
-0.018868333333333334,1.7378795476551461,-0.68902103270528192
-0.018863333333333333,1.7524770083609154,-0.6896910789290116
-0.018858333333333331,1.7488276431844734,-0.69002610204087633
-0.018853333333333333,1.7451782780080336,-0.69002610204087633
-0.018848333333333332,1.7342301824787048,-0.68969107892901194
-0.018843333333333333,1.7232820869493866,-0.69036112515274117
-0.018838333333333332,1.6977365307142973,-0.69103117137647063
-0.018833333333333334,1.6758403396556503,-0.69136619448833547
-0.018828333333333332,1.6429960530676793,-0.69237126382392966
-0.018823333333333334,1.610151766479724,-0.69237126382392966
-0.018818333333333333,1.5773074798917381,-0.69304131004765923
-0.018813333333333331,1.5517619236566331,-0.69304131004765979
-0.018808333333333333,1.5152682718922375,-0.69438140249511826
-0.018803333333333332,1.4824239853042516,-0.69471642560698355
-0.018798333333333334,1.4495796987162954,-0.69572149494257729
-0.018793333333333332,1.4167354121283244,-0.69505144871884783
-0.018788333333333334,1.3802417603639296,-0.6963915411663063
-0.018783333333333332,1.3400987434230593,-0.69639154116630686
-0.018778333333333334,1.2999557264822248,-0.69739661050190072
-0.018773333333333333,1.2598127095413529,-0.69706158739003643
-0.018768333333333331,1.223319057776924,-0.69773163361376589
-0.018763333333333333,1.1868254060125292,-0.69773163361376589
-0.018758333333333332,1.1503317542481168,-0.69773163361376589
-0.018753333333333334,1.1138381024837045,-0.69873670294936019
-0.018748333333333332,1.0773444507192931,-0.69873670294936019
-0.018743333333333334,1.044500164131337,-0.69974177228495404
-0.018738333333333333,1.0116558775433511,-0.70041181850868406
-0.018733333333333334,0.98246095613183471,-0.70108186473241318
-0.018728333333333333,0.96056476507317434,-0.70108186473241352
-0.018723333333333331,0.93136984366163467,-0.70208693406800782
-0.018718333333333333,0.90947365260299762,-0.70208693406800782
-0.018713333333333332,0.88757746154434969,-0.70309200340360212
-0.018708333333333334,0.86203190530926133,-0.70309200340360212
-0.018703333333333332,0.84743444460349693,-0.70342702651546685
-0.018698333333333334,0.83648634907417796,-0.70342702651546685
-0.018693333333333333,0.82188888836840857,-0.70443209585106115
-0.018688333333333331,0.80729142766263995,-0.70476711896292599
-0.018683333333333333,0.79999269730976152,-0.70476711896292599
-0.018678333333333332,0.7890446017804309,-0.7047671189629261
-0.018673333333333333,0.77444714107467227,-0.70510214207479072
-0.018668333333333332,0.77079777589823184,-0.70644223452224975
-0.018663333333333334,0.76714841072179052,-0.70677725763411448
-0.018658333333333332,0.75620031519246655,-0.70711228074597932
-0.018653333333333334,0.7525509500160269,-0.70711228074597932
-0.018648333333333333,0.74525221966314259,-0.70845237319343835
-0.018643333333333331,0.74160285448670049,-0.70845237319343879
-0.018638333333333333,0.73795348931026084,-0.70945744252903264
-0.018633333333333332,0.73430412413381785,-0.70945744252903309
-0.018628333333333334,0.73065475895737819,-0.71046251186462694
-0.018623333333333332,0.72700539378093687,-0.71046251186462694
-0.018618333333333334,0.71970666342805423,-0.71079753497649167
-0.018613333333333332,0.71240793307517247,-0.71180260431208597
-0.018608333333333334,0.71240793307517247,-0.71213762742395059
-0.018603333333333333,0.70145983754584851,-0.71280767364768027
-0.018598333333333331,0.69781047236940386,-0.71247265053581554
-0.018593333333333333,0.69051174201652454,-0.71280767364768027
-0.018588333333333332,0.67956364648720147,-0.71280767364768027
-0.018583333333333334,0.67226491613431882,-0.71347771987140973
-0.018578333333333332,0.66131682060499486,-0.7141477660951393
-0.018573333333333334,0.65036872507567678,-0.71481781231886854
-0.018568333333333333,0.6357712643699065,-0.71481781231886887
-0.018563333333333334,0.6175244384877091,-0.715487858542598
-0.018558333333333333,0.60292697778193638,-0.7151528354307336
-0.018553333333333331,0.58832951707616277,-0.71682795099005736
-0.018548333333333333,0.57008269119396537,-0.71682795099005736
-0.018543333333333332,0.55183586531175877,-0.71749799721378693
-0.018538333333333334,0.53723840460599437,-0.71783302032565166
-0.018533333333333332,0.51899157872378865,-0.7181680434375165
-0.018528333333333334,0.50074475284159037,-0.71950813588497498
-0.018523333333333333,0.48249792695937632,-0.71917311277311069
-0.018518333333333331,0.46425110107716394,-0.71950813588497564
-0.018513333333333333,0.44965364037140532,-0.71984315899684026
-0.018508333333333331,0.43140681448919294,-0.71984315899684015
-0.018503333333333333,0.41680935378343431,-0.71950813588497553
-0.018498333333333332,0.40586125825411123,-0.72084822833243456
-0.018493333333333334,0.38761443237190463,-0.72051320522056983
-0.018488333333333332,0.37301697166614023,-0.72218832077989359
-0.018483333333333334,0.36206887613682126,-0.72218832077989359
-0.018478333333333333,0.35112078060749319,-0.72285836700362316
-0.018473333333333331,0.34017268507816423,-0.72252334389175876
-0.018468333333333333,0.32922458954884526,-0.72352841322735262
-0.018463333333333332,0.32192585919596184,-0.72453348256294703
-0.018458333333333334,0.31827649401952218,-0.72486850567481176
-0.018453333333333332,0.31097776366663954,-0.72520352878667649
-0.018448333333333334,0.30002966813731557,-0.72553855189854122
-0.018443333333333332,0.30002966813731557,-0.72620859812227079
-0.018438333333333334,0.29638030296087681,-0.72654362123413541
-0.018433333333333333,0.29638030296087514,-0.72754869056972982
-0.018428333333333331,0.29273093778443382,-0.7272136674578652
-0.018423333333333333,0.29273093778443382,-0.72754869056972982
-0.018418333333333332,0.2890815726079925,-0.72754869056972982
-0.018413333333333334,0.28543220743155118,-0.72821873679345939
-0.018408333333333332,0.28543220743155118,-0.72855375990532412
-0.018403333333333334,0.28908157260799083,-0.72989385235278259
-0.018398333333333333,0.29273093778443382,-0.72955882924091842
-0.018393333333333334,0.29273093778443382,-0.73022887546464754
-0.018388333333333333,0.30002966813731557,-0.73022887546464788
-0.018383333333333331,0.30367903331375856,-0.73123394480024229
-0.018378333333333333,0.30732839849019822,-0.73156896791210702
-0.018373333333333332,0.3219258591959635,-0.73190399102397175
-0.018368333333333334,0.3365233199017279,-0.73190399102397175
-0.018363333333333332,0.35112078060749319,-0.73290906035956604
-0.018358333333333334,0.37301697166613029,-0.73324408347143066
-0.018353333333333333,0.40221189307766991,-0.7335791065832955
-0.018348333333333335,0.43870554484206475,-0.73458417591888936
-0.018343333333333333,0.478848561782935,-0.7345841759188898
-0.018338333333333331,0.52264094390025395,-0.73558924525448399
-0.018333333333333333,0.57738142154684713,-0.73525422214261937
-0.018328333333333332,0.64306999472278914,-0.73525422214261937
-0.018323333333333334,0.71970666342805423,-0.73592426836634883
-0.018318333333333332,0.7963433321333202,-0.73692933770194313
-0.018313333333333334,0.8839280963678694,-0.73659431459007851
-0.018308333333333333,0.98611032130826271,-0.73726436081380797
-0.018303333333333331,1.099240641777995,-0.73726436081380831
-0.018298333333333333,1.2196696926005002,-0.73793440703753743
-0.018293333333333332,1.3546962041288892,-0.73860445326126711
-0.018288333333333334,1.4970214460100317,-0.73893947637313173
-0.018283333333333332,1.6575935137734445,-0.7396095225968613
-0.018278333333333334,1.82546431188974,-0.73994454570872603
-0.018273333333333332,2.0079325707117999,-0.7406145919324556
-0.018268333333333334,2.1940501947102171,-0.74027956882059087
-0.018263333333333333,2.3947652794145684,-0.7416196612680499
-0.018258333333333331,2.6027790944718161,-0.7412846381561855
-0.018253333333333333,2.8217410050581893,-0.74228970749177936
-0.018248333333333332,3.0443522808212058,-0.7426247306036442
-0.018243333333333334,3.2706129217604571,-0.74295975371550893
-0.018238333333333332,3.5078216582291359,-0.74295975371550893
